"","Gene","Cluster","Max_Weight","Rank"
"TFAP2A","TFAP2A",4,3.17969615238702,4
"GZMK","GZMK",2,3.63694751342792,4
"TRBC1","TRBC1",2,4.01826231234622,4
"MLPH","MLPH",1,2.69438333913158,4
"GZMB","GZMB",2,3.21879638960047,4
"CCN4","CCN4",4,3.03020297702617,4
"RPS26","RPS26",4,2.4707990161968,4
"TRAC","TRAC",2,3.95435183561846,4
"SLAMF8","SLAMF8",2,3.14316572125196,4
"CYP2B7P","CYP2B7P",3,2.32150785893493,4
"EIF5A","EIF5A",4,2.82512772345074,4
"CHRDL1","CHRDL1",1,3.2982212870623,4
"LINC00926","LINC00926",2,3.18128902243702,4
"FASN","FASN",4,2.68817250353183,4
"DIO2","DIO2",3,2.63337531631966,4
"CNTN1","CNTN1",1,3.08103714779561,4
"RELN","RELN",1,3.20261890528809,4
"TMEM158","TMEM158",4,3.09243273804922,4
"AARD","AARD",4,2.97671875492709,4
"FAM30A","FAM30A",2,3.50914844059368,4
"IGSF10","IGSF10",1,3.63691319352996,4
"CCL22","CCL22",2,2.94874757912393,4
"PDGFD","PDGFD",1,3.39129904753228,4
"TRIM29","TRIM29",4,2.85729981651161,4
"P2RY10","P2RY10",2,3.41230184935433,4
"KLK7","KLK7",4,2.78475290843067,4
"RSAD2","RSAD2",2,2.37458694299269,4
"SPIB","SPIB",2,3.72426393584042,4
"TPSB2","TPSB2",1,2.61872738386155,4
"CTSG","CTSG",1,3.23028869081737,4
"PTGFR","PTGFR",1,2.89248432825167,4
"HLF","HLF",1,3.10295208396332,4
"SPINK8","SPINK8",3,2.55066924024138,4
"CD3D","CD3D",2,3.76477728641933,4
"ABCA8","ABCA8",1,3.5873238067282,4
"MAB21L1","MAB21L1",1,3.2951658525875,4
"BTNL9","BTNL9",1,3.42741624660059,4
"ADAMTS8","ADAMTS8",1,3.02727891560783,4
"CCL3L3","CCL3L3",3,2.34725720367866,4
"TFCP2L1","TFCP2L1",4,2.93108300207089,4
"TFAP2C","TFAP2C",4,2.90052235441686,4
"ABCA9","ABCA9",1,3.5999128376302,4
"IRF8","IRF8",2,3.3621575634715,4
"ADGRD2","ADGRD2",1,2.80332841139191,4
"GNLY","GNLY",2,3.30121514445762,4
"MEDAG","MEDAG",1,2.43672569198058,4
"IGLL5","IGLL5",2,2.77564852533382,4
"OSR1","OSR1",1,3.27016809185622,4
"C15orf48","C15orf48",4,2.24257757408177,4
"RPL21","RPL21",4,2.3294584595106,4
"NQO1","NQO1",4,2.21210059302871,4
"MEOX1","MEOX1",1,3.21393975718962,4
"SNORC","SNORC",4,2.58736616928993,4
"SOX10","SOX10",4,2.49732081910208,4
"ESM1","ESM1",4,2.85884128870803,4
"CD48","CD48",2,3.57946735463725,4
"PIM2","PIM2",2,3.66415785977241,4
"ISG20","ISG20",2,3.60500952834869,4
"IL1B","IL1B",2,2.25374979053263,4
"HAS1","HAS1",2,1.92559020501448,4
"PER1","PER1",1,2.7206800438857,4
"CCL8","CCL8",2,2.1337351188765,4
"SERPINA5","SERPINA5",1,2.6246047156568,4
"DHCR24","DHCR24",4,2.83217098659765,4
"PLAUR","PLAUR",4,3.05620274454348,4
"MT1X","MT1X",4,2.4034054988953,4
"PLA2G2D","PLA2G2D",2,3.48608348350397,4
"FCGBP","FCGBP",4,2.46627030660681,4
"ZAP70","ZAP70",2,3.85233853931136,4
"CD19","CD19",2,3.58088825178484,4
"ESRP1","ESRP1",4,3.08350803240683,4
"MT1M","MT1M",1,2.36214081521639,4
"SULF1","SULF1",4,3.33642860874695,4
"SYNM","SYNM",1,2.78167045529254,4
"AC103591.3","AC103591.3",2,2.48612900355667,4
"TMEM130","TMEM130",1,3.03448355531681,4
"FADS2","FADS2",4,2.67588643430521,4
"AQP3","AQP3",4,1.98073832857478,4
"SERPINE1","SERPINE1",4,2.72574768217611,4
"SLC11A1","SLC11A1",4,2.56477546020469,4
"NAPSB","NAPSB",2,3.22757910053781,4
"FGF10","FGF10",1,3.31226629534521,4
"SPTBN1","SPTBN1",3,3.3098505961101,4
"PON3","PON3",1,2.5615672473257,4
"CCN3","CCN3",4,2.46980687218198,4
"ADM","ADM",1,2.78116221413606,4
"RBP7","RBP7",1,3.0518735744023,4
"MAMDC2","MAMDC2",1,3.23079666926301,4
"CALML3","CALML3",1,2.22564483866641,4
"SERPINB5","SERPINB5",4,2.93929482723607,4
"OAS2","OAS2",2,3.16718614364732,4
"CENPF","CENPF",2,2.44526645983464,4
"ASPM","ASPM",2,2.54644922914453,4
"MT2A","MT2A",4,2.769012226877,4
"KRT18","KRT18",4,2.98556525775449,4
"AGR3","AGR3",3,2.4180757558843,4
"SCD","SCD",3,2.99445935950236,4
"CD38","CD38",2,3.46693004080114,4
"SRP9","SRP9",4,2.62234010983408,4
"COLGALT2","COLGALT2",1,2.89106802967098,4
"SNORA2B","SNORA2B",2,2.42289943839133,4
"PARP15","PARP15",2,3.53547052769167,4
"AQP5","AQP5",4,2.51329322340487,4
"FCER1A","FCER1A",3,2.48036779507716,4
"KLF5","KLF5",4,2.88084990077017,4
"NUP210","NUP210",2,3.36607289739364,4
"C1QTNF3","C1QTNF3",4,2.9730498251996,4
"VOPP1","VOPP1",2,2.47125647025136,4
"TRBC2","TRBC2",2,3.93682985266887,4
"ADH1C","ADH1C",1,2.99202605694814,4
"MATN3","MATN3",4,2.90891176902798,4
"CRACR2B","CRACR2B",4,2.42960963813098,4
"ZBP1","ZBP1",2,3.40058282234149,4
"PLA2G7","PLA2G7",2,2.73795140878936,4
"THSD4","THSD4",1,3.15051161816625,4
"KLK6","KLK6",4,2.63509532658617,4
"IGHA1","IGHA1",1,2.55118014234944,4
"RPL10P9","RPL10P9",4,2.31576928300324,4
"ACKR1","ACKR1",1,3.27108729925135,4
"TMEM14C","TMEM14C",4,2.50183990136809,4
"IER2","IER2",1,2.39893173944611,4
"SFN","SFN",4,3.03580586930176,4
"ESR1","ESR1",1,2.71774908963374,4
"LAMB3","LAMB3",4,2.72052323796088,4
"DKK2","DKK2",1,2.52342409011206,4
"CCN5","CCN5",4,2.29663320724414,4
"RPS7","RPS7",4,2.5986487445478,4
"ZC3H12D","ZC3H12D",2,3.43895028898091,4
"IRF4","IRF4",2,3.39816667774125,4
"AOX1","AOX1",1,2.76463859187929,4
"CACNA1G","CACNA1G",1,3.03536614972143,4
"EPPK1","EPPK1",4,3.00096063186604,4
"OSR2","OSR2",1,2.60120110652397,4
"TNS4","TNS4",1,2.52924262281033,4
"SPRY2","SPRY2",1,3.36415525744647,4
"MIA","MIA",4,2.65438976358358,4
"SPOCK2","SPOCK2",2,3.59833127832284,4
"TBC1D10C","TBC1D10C",2,3.92606489548029,4
"LRRC17","LRRC17",1,2.88163046302216,4
"CD3E","CD3E",2,3.5794868991926,4
"CH25H","CH25H",1,2.60950081078399,4
"NEK10","NEK10",1,2.18398351500254,4
"DERL3","DERL3",2,3.10374382010695,4
"FCRL3","FCRL3",2,3.60641699341199,4
"SYT8","SYT8",1,2.47519531408692,4
"CD52","CD52",2,3.97926226754119,4
"RGS1","RGS1",2,2.67597830190082,4
"LIF","LIF",4,1.92630479387243,4
"IRX1","IRX1",4,2.5080092619716,4
"GRHL1","GRHL1",4,2.8721402808042,4
"H2BC8","H2BC8",2,2.23982910918927,4
"ERBB3","ERBB3",4,2.88098062758506,4
"MAOB","MAOB",1,2.87140718895309,4
"TK1","TK1",4,2.58012368146094,4
"PAMR1","PAMR1",1,3.03283738182962,4
"CA12","CA12",4,2.48450899536307,4
"ROCR","ROCR",4,2.6798879356012,4
"PTN","PTN",1,2.67795185830559,4
"C1QBP","C1QBP",4,2.15125350363446,4
"PRSS8","PRSS8",4,3.06601395896098,4
"C3orf80","C3orf80",3,2.71436633388971,4
"KLHL13","KLHL13",1,2.92243452144394,4
"LGALS9","LGALS9",2,2.76955880396897,4
"CD6","CD6",2,3.71671670872943,4
"TREM2","TREM2",4,2.96796738406041,4
"MT-TK","MT-TK",1,2.31277972534635,4
"NTRK2","NTRK2",1,2.76903382886618,4
"AP000892.4","AP000892.4",1,2.75430941598901,4
"CNN1","CNN1",4,2.56942111538426,4
"LAMC2","LAMC2",4,2.60649085663745,4
"P2RX5","P2RX5",2,3.45297254824696,4
"AC004687.1","AC004687.1",2,3.49974225610816,4
"AIM2","AIM2",2,3.3101715913652,4
"CD2","CD2",2,3.53082845459259,4
"FMO2","FMO2",1,3.14675478463613,4
"INMT","INMT",1,3.03825396710599,4
"HMGA1","HMGA1",2,2.70226061419944,4
"RPS15","RPS15",2,2.32371394093024,4
"KIT","KIT",1,2.9697841854322,4
"PPP1R1B","PPP1R1B",4,2.44883169265595,4
"ITGA11","ITGA11",4,3.36969378882222,4
"SP140","SP140",2,3.71693435899016,4
"ITGBL1","ITGBL1",4,2.99413201927192,4
"ANGPTL4","ANGPTL4",1,2.44740286547016,4
"GDF15","GDF15",1,2.13080567680494,4
"GPX3","GPX3",1,3.0828474218581,4
"PRSS12","PRSS12",1,2.98736753004722,4
"GPRC5A","GPRC5A",4,2.35540843113651,4
"PLAC8","PLAC8",2,3.58233968372747,4
"TAGAP","TAGAP",2,3.50138625501351,4
"CPA3","CPA3",1,2.81755931497956,4
"FPR1","FPR1",3,2.16637201225284,4
"MCOLN2","MCOLN2",2,3.20404116473314,4
"ACAP1","ACAP1",2,3.86542685280415,4
"DSG1","DSG1",4,2.42557603570116,4
"MEOX2","MEOX2",1,2.95050388296018,4
"EHF","EHF",4,2.48523482478594,4
"ANGPTL1","ANGPTL1",1,2.86507440225494,4
"SNX20","SNX20",2,3.51545860877015,4
"ITK","ITK",2,3.34185483272076,4
"TRMT9B","TRMT9B",1,3.0793501999283,4
"EGFL6","EGFL6",3,1.90309355570115,4
"CXCL6","CXCL6",1,2.60115149379608,4
"C16orf89","C16orf89",1,2.98588769429433,4
"CD8A","CD8A",2,3.24650090506253,4
"WNT2","WNT2",3,2.39372002051188,4
"LINC02362","LINC02362",2,2.85724673472352,4
"RPL3","RPL3",4,2.43131326766391,4
"GRP","GRP",4,2.62968326403346,4
"TYMS","TYMS",2,2.4655069270932,4
"C1QTNF6","C1QTNF6",4,2.81757471636747,4
"ADAMTS4","ADAMTS4",4,2.15416535887,4
"ITGB2-AS1","ITGB2-AS1",2,3.30660979811738,4
"CAVIN2","CAVIN2",1,3.50313771852094,4
"ADIRF","ADIRF",1,3.47619916713842,4
"TNFAIP6","TNFAIP6",4,2.65318008718798,4
"CALHM6","CALHM6",2,2.96828327630708,4
"ELOVL7","ELOVL7",1,2.53771528539456,4
"GPM6B","GPM6B",1,2.69963496867179,4
"TNFSF14","TNFSF14",2,2.66214056970864,4
"CD247","CD247",2,3.43743291767202,4
"EFHD1","EFHD1",4,2.79865959569347,4
"TNC","TNC",4,3.04006573989519,4
"GZMA","GZMA",2,3.37422325378102,4
"SH2D1A","SH2D1A",2,3.50806426408464,4
"TRIL","TRIL",1,2.80245853035276,4
"DDIT4","DDIT4",4,2.38071427553778,4
"GAL","GAL",3,1.92793753901878,4
"AUXG01000058.1","AUXG01000058.1",1,2.77439751889882,4
"CD209","CD209",1,2.41914083304835,4
"CLEC10A","CLEC10A",2,2.50319952860884,4
"AC011503.1","AC011503.1",1,2.98432467470262,4
"LGALS2","LGALS2",2,3.49027689317872,4
"FAM189A2","FAM189A2",1,2.88770386893892,4
"CD27","CD27",2,3.51799287646157,4
"IL7R","IL7R",2,3.54252011886224,4
"COL9A3","COL9A3",4,2.30585402488177,4
