"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_13949_570_IBC_Str","set1_3_13949_570_IBC_Str",3,0.211512159429281,4
"set1_3_13951_570_DCIS_Str","set1_3_13951_570_DCIS_Str",3,0.195963894175569,4
"set1_3_13953_570_ADH_Str_1","set1_3_13953_570_ADH_Str_1",1,0.209321978171324,4
"set1_3_13955_570_NL_Str","set1_3_13955_570_NL_Str",1,0.205233857135909,4
"set1_3_13957_570_CCC_Str_2","set1_3_13957_570_CCC_Str_2",1,0.18146515097293,4
"set1_3_13959_570_CCH_Str","set1_3_13959_570_CCH_Str",1,0.222375602106796,4
"set1_3_13961_570_ADH_Str_2","set1_3_13961_570_ADH_Str_2",1,0.187401199604151,4
"set1_3_13963_569_IBC_Str","set1_3_13963_569_IBC_Str",3,0.197964378940541,4
"set1_3_13965_567_EN_Str","set1_3_13965_567_EN_Str",3,0.203347200782298,4
"set1_3_13969_567_DCIS_Str","set1_3_13969_567_DCIS_Str",2,0.213304803177176,4
"set1_3_13971_567_IBC_Str","set1_3_13971_567_IBC_Str",3,0.214107989356254,4
"set1_3_13977_565_EN_Str","set1_3_13977_565_EN_Str",1,0.222112365187352,4
"set1_3_13983_561_DCIS_Str","set1_3_13983_561_DCIS_Str",3,0.208991831650026,4
"set1_3_13985_561_IBC_Str","set1_3_13985_561_IBC_Str",3,0.219175894074761,4
"set1_3_13988_562_DCIS_Str_1","set1_3_13988_562_DCIS_Str_1",3,0.204131388308899,4
"set1_3_13992_562_DCIS_Str_2","set1_3_13992_562_DCIS_Str_2",3,0.195540063154703,4
"set1_3_13994_562_NL_Str_2","set1_3_13994_562_NL_Str_2",1,0.213076241851938,4
"set1_3_13996_563_NL_Str","set1_3_13996_563_NL_Str",3,0.186430786060556,4
"set1_3_13998_563_IBC_Str","set1_3_13998_563_IBC_Str",2,0.196319908757258,4
"set1_3_14002_553_DCIS_Str","set1_3_14002_553_DCIS_Str",3,0.205948530401233,4
"set1_3_14004_553_IBC_Str","set1_3_14004_553_IBC_Str",4,0.221335931745627,4
"set1_3_14008_553_EN_Str","set1_3_14008_553_EN_Str",1,0.203021056897582,4
"set1_3_14013_560_CCC_Str","set1_3_14013_560_CCC_Str",1,0.202634834829685,4
"set1_3_14015_560_AM_Str","set1_3_14015_560_AM_Str",3,0.224225234877153,4
"set1_3_14017_560_NL_Str_1","set1_3_14017_560_NL_Str_1",3,0.228450718644548,4
"set1_3_14019_560_NL_Str_2","set1_3_14019_560_NL_Str_2",3,0.196574157331613,4
"set1_3_14021_560_IBC_Str_1","set1_3_14021_560_IBC_Str_1",3,0.198310733958339,4
"set1_3_14023_560_SA_Str","set1_3_14023_560_SA_Str",3,0.186108493741519,4
"set1_3_14026_560_IBC_Str_2","set1_3_14026_560_IBC_Str_2",3,0.157876542697742,4
"set1_3_14035_572_IBC_Str","set1_3_14035_572_IBC_Str",2,0.235840656085621,4
"set1_3_14037_571_NL_Str","set1_3_14037_571_NL_Str",1,0.170588606735336,4
"set1_3_14039_571_EN_Str","set1_3_14039_571_EN_Str",2,0.27378012985779,4
"set1_3_14041_571_DCISw_Str","set1_3_14041_571_DCISw_Str",2,0.27113212901233,4
"set1_3_14043_571_DCIS_Str","set1_3_14043_571_DCIS_Str",2,0.20864357518425,4
"set1_3_14045_571_IBC_Str_1","set1_3_14045_571_IBC_Str_1",2,0.25531533526452,4
"set1_3_14047_571_IBC_Str_2","set1_3_14047_571_IBC_Str_2",3,0.194806325789868,4
"set1_3_14049_566_IBC_Str","set1_3_14049_566_IBC_Str",2,0.19397442705412,4
"set1_3_14051_566_DCIS_Str","set1_3_14051_566_DCIS_Str",2,0.215461078295427,4
"set1_3_14053_566_UDH_Str","set1_3_14053_566_UDH_Str",3,0.184624148305437,4
"set1_3_14063_564_DCIS_Str","set1_3_14063_564_DCIS_Str",3,0.210725735981211,4
"set1_3_14065_564_HP_Str","set1_3_14065_564_HP_Str",3,0.219025970907589,4
"set1_3_14067_564_NL_Str","set1_3_14067_564_NL_Str",3,0.187427098804443,4
"set1_3_14069_564_IBC_Str","set1_3_14069_564_IBC_Str",3,0.216629778899926,4
"set1_3_14071_559_DCIS_Str","set1_3_14071_559_DCIS_Str",3,0.196042737971903,4
"set1_3_14073_559_IBC_Str","set1_3_14073_559_IBC_Str",3,0.17624638886607,4
"set1_3_14075_559_CCH_Str","set1_3_14075_559_CCH_Str",1,0.236617023676518,4
"set1_3_14081_558_IBC_Str","set1_3_14081_558_IBC_Str",3,0.234660502055218,4
"set1_3_14085_558_DCIS_Str_1","set1_3_14085_558_DCIS_Str_1",3,0.223488301222084,4
"set1_3_14093_557_IBC_Str","set1_3_14093_557_IBC_Str",3,0.187092936617116,4
"set1_3_14095_557_DCIS_Str","set1_3_14095_557_DCIS_Str",3,0.206080543822633,4
"set1_3_14097_556_IBC_Str_1","set1_3_14097_556_IBC_Str_1",3,0.211946348913313,4
"set1_3_14099_556_ADH_Str_1","set1_3_14099_556_ADH_Str_1",3,0.208079089439618,4
"set1_3_14101_556_ADH_Str_2","set1_3_14101_556_ADH_Str_2",3,0.191745627502111,4
"set1_3_14105_556_IBC_Str_2","set1_3_14105_556_IBC_Str_2",3,0.234783761658149,4
"set1_3_14111_555_IN_Str","set1_3_14111_555_IN_Str",3,0.196738986768103,4
"set1_3_14113_555_iIBC_Str","set1_3_14113_555_iIBC_Str",3,0.193256964795258,4
"set1_3_14115_555_IBC_Str","set1_3_14115_555_IBC_Str",3,0.207565642582691,4
"set4_10_14732_656_IBC_Str","set4_10_14732_656_IBC_Str",4,0.203607816736837,4
"set4_10_14734_656_BBD_Str","set4_10_14734_656_BBD_Str",1,0.223985846094648,4
"set4_10_14736_656_NL_Str","set4_10_14736_656_NL_Str",1,0.223349599873829,4
"set4_10_14738_657_CCC_Str","set4_10_14738_657_CCC_Str",1,0.192930010506451,4
"set4_10_14740_657_NL_Str","set4_10_14740_657_NL_Str",1,0.202878050505817,4
"set4_10_14742_657_DCIS_Str","set4_10_14742_657_DCIS_Str",4,0.228712397819517,4
"set4_10_14743_657_IBC_Str","set4_10_14743_657_IBC_Str",4,0.306057960189924,4
"set4_10_14748_658_DCIS_Str","set4_10_14748_658_DCIS_Str",2,0.255424087592975,4
"set4_10_14749_658_IBC_Str","set4_10_14749_658_IBC_Str",2,0.230805995654672,4
"set4_10_14750_658_NL_Str","set4_10_14750_658_NL_Str",1,0.251824904104829,4
"set4_10_14753_659_DCIS_Str","set4_10_14753_659_DCIS_Str",1,0.201617894837677,4
"set4_10_14754_659_IBC_Str","set4_10_14754_659_IBC_Str",2,0.198501924782716,4
"set4_10_14756_659_DCIS_Str","set4_10_14756_659_DCIS_Str",1,0.203212541231754,4
"set4_10_14758_659_NL_Str","set4_10_14758_659_NL_Str",1,0.193717495841283,4
"set4_10_14792_663_DCIS_Str","set4_10_14792_663_DCIS_Str",1,0.178118171005773,4
"set4_10_14794_663_IBC_Str","set4_10_14794_663_IBC_Str",4,0.168559761191507,4
"set4_10_14796_663_NL_Str","set4_10_14796_663_NL_Str",1,0.243757187062795,4
"set4_10_14760_660_IBC_Str","set4_10_14760_660_IBC_Str",2,0.227632766782874,4
"set4_10_14762_660_DCIS_Str","set4_10_14762_660_DCIS_Str",2,0.201295285772705,4
"set4_10_14764_660_NL_Str","set4_10_14764_660_NL_Str",1,0.215258276893075,4
"set4_10_14766_660_LVI_Str","set4_10_14766_660_LVI_Str",2,0.209654557289855,4
"set4_10_14768_661_IBC_Str","set4_10_14768_661_IBC_Str",2,0.218693098865466,4
"set4_10_14770_661_AM_Str","set4_10_14770_661_AM_Str",1,0.174184385469327,4
"set4_10_14772_661_ADH_Str","set4_10_14772_661_ADH_Str",1,0.254138967428025,4
"set4_10_14774_661_DCIS_Str","set4_10_14774_661_DCIS_Str",1,0.244705531316157,4
"set4_10_14776_661_ADH_Str","set4_10_14776_661_ADH_Str",1,0.245582857152202,4
"set4_10_14778_661_NL_Str","set4_10_14778_661_NL_Str",1,0.25241356867463,4
"set4_10_14780_662_DCIS.1_Str","set4_10_14780_662_DCIS.1_Str",4,0.234723766597533,4
"set4_10_14782_662_MIV.1_Str","set4_10_14782_662_MIV.1_Str",2,0.226491490200511,4
"set4_10_14784_662_DCIS.2_Str","set4_10_14784_662_DCIS.2_Str",2,0.209336817892759,4
"set4_10_14786_662_MIV.2_Str","set4_10_14786_662_MIV.2_Str",2,0.228103664522246,4
"set4_10_14788_662_DCIS.3_Str","set4_10_14788_662_DCIS.3_Str",4,0.240606424276756,4
"set4_10_14790_662_IBC_Str","set4_10_14790_662_IBC_Str",4,0.255744688165567,4
"set4_10_14910_676_DCIS.2_Str","set4_10_14910_676_DCIS.2_Str",1,0.16400322244794,4
"set4_10_14799_664_BBD_Str","set4_10_14799_664_BBD_Str",1,0.264107573642651,4
"set4_10_14801_664_IBC_Str","set4_10_14801_664_IBC_Str",2,0.213401599170036,4
"set4_10_14803_664_ADH_Str","set4_10_14803_664_ADH_Str",1,0.247716602092061,4
"set4_10_14806_665_IBC_Str","set4_10_14806_665_IBC_Str",4,0.260758360391644,4
"set4_10_14808_665_inf_NL_Str","set4_10_14808_665_inf_NL_Str",2,0.265563003759939,4
"set4_10_14860_665_DCIS_Str","set4_10_14860_665_DCIS_Str",1,0.191666889167149,4
