"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_13885_546_ALH_Str","set1_3_13885_546_ALH_Str",3,0.200885315468396,4
"set1_3_13887_546_IBC_Str","set1_3_13887_546_IBC_Str",1,0.215524134891172,4
"set1_3_13889_546_LIN_Str","set1_3_13889_546_LIN_Str",1,0.1665252249037,4
"set1_3_13891_546_CCH_Str","set1_3_13891_546_CCH_Str",4,0.169165734618024,4
"set1_3_13893_546_HIN_Str","set1_3_13893_546_HIN_Str",1,0.248497841670687,4
"set1_3_13895_546_MIN_Str","set1_3_13895_546_MIN_Str",1,0.220419716058865,4
"set1_3_13897_545_CCC_Str_1","set1_3_13897_545_CCC_Str_1",3,0.194425003755984,4
"set1_3_13899_545_ADH_Str","set1_3_13899_545_ADH_Str",1,0.191341242038614,4
"set1_3_13901_545_UDH_Str_1","set1_3_13901_545_UDH_Str_1",3,0.233732379318008,4
"set1_3_13903_545_AM_Str_1","set1_3_13903_545_AM_Str_1",1,0.174072713489649,4
"set1_3_13905_545_IBC_Str","set1_3_13905_545_IBC_Str",3,0.153910192098572,4
"set1_3_13907_545_DCIS_Str_1","set1_3_13907_545_DCIS_Str_1",3,0.211414929053341,4
"set1_3_13909_545_CCC_Str_2","set1_3_13909_545_CCC_Str_2",3,0.169802048907512,4
"set1_3_13917_545_DCIS_Str_2","set1_3_13917_545_DCIS_Str_2",3,0.260403894044954,4
"set1_3_13925_544_DCIS_Str_1","set1_3_13925_544_DCIS_Str_1",3,0.142769070157102,4
"set1_3_13927_544_DCIS_Str_2","set1_3_13927_544_DCIS_Str_2",1,0.202237720158721,4
"set1_3_13929_544_IBC_Str","set1_3_13929_544_IBC_Str",1,0.199155631045588,4
"set1_3_13931_544_DCIS_Str_3","set1_3_13931_544_DCIS_Str_3",1,0.193409990240997,4
"set1_3_13939_568_NL_Str","set1_3_13939_568_NL_Str",4,0.181557411520953,4
"set1_3_13941_568_IBC_Str","set1_3_13941_568_IBC_Str",2,0.188526751441813,4
"set1_3_13943_568_DCIS_Str","set1_3_13943_568_DCIS_Str",1,0.150785116635061,4
"set1_3_13947_570_CCC_Str_1","set1_3_13947_570_CCC_Str_1",4,0.224062539052614,4
"set1_3_13949_570_IBC_Str","set1_3_13949_570_IBC_Str",3,0.153677299427009,4
"set1_3_13951_570_DCIS_Str","set1_3_13951_570_DCIS_Str",4,0.204642238432192,4
"set1_3_13953_570_ADH_Str_1","set1_3_13953_570_ADH_Str_1",4,0.192731375664203,4
"set1_3_13955_570_NL_Str","set1_3_13955_570_NL_Str",4,0.205369625155649,4
"set1_3_13957_570_CCC_Str_2","set1_3_13957_570_CCC_Str_2",4,0.216494193817446,4
"set1_3_13959_570_CCH_Str","set1_3_13959_570_CCH_Str",4,0.214731214426689,4
