"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_13860_548_IBC_Ep","set1_3_13860_548_IBC_Ep",2,0.0877447526896659,4
"set1_3_13862_547_NL_Ep","set1_3_13862_547_NL_Ep",3,0.0788223872944124,4
"set1_3_13864_547_CCC_Ep_1","set1_3_13864_547_CCC_Ep_1",1,0.0567209578714645,4
"set1_3_13866_547_CCH_Ep_1","set1_3_13866_547_CCH_Ep_1",1,0.0730514187449466,4
"set1_3_13868_547_IBC_Ep_1","set1_3_13868_547_IBC_Ep_1",2,0.0942121020324082,4
"set1_3_13870_547_DCIS_Ep","set1_3_13870_547_DCIS_Ep",2,0.104257485366856,4
"set1_3_13872_547_CCC_Ep_2","set1_3_13872_547_CCC_Ep_2",3,0.0663531277118907,4
"set1_3_13876_547_CCC_Ep_3","set1_3_13876_547_CCC_Ep_3",1,0.0512892471165763,4
"set1_3_13878_547_IBC_Ep_2","set1_3_13878_547_IBC_Ep_2",2,0.101560622423495,4
"set1_3_13880_547_NL_Ep","set1_3_13880_547_NL_Ep",3,0.0777608927168574,4
"set1_3_13882_546_NL_Ep","set1_3_13882_546_NL_Ep",3,0.0784255194161285,4
"set1_3_13884_546_ALH_Ep","set1_3_13884_546_ALH_Ep",1,0.0875247446626602,4
"set1_3_13886_546_IBC_Ep","set1_3_13886_546_IBC_Ep",2,0.0954893402394976,4
"set1_3_13888_546_LIN_Ep","set1_3_13888_546_LIN_Ep",3,0.0670517741788952,4
"set1_3_13890_546_CCH_Ep","set1_3_13890_546_CCH_Ep",1,0.0871854561921693,4
"set1_3_13892_546_HIN_Ep","set1_3_13892_546_HIN_Ep",3,0.0654359770169992,4
"set1_3_13894_546_MIN_Ep","set1_3_13894_546_MIN_Ep",3,0.0773270246693894,4
"set1_3_13896_545_CCC_Ep_1","set1_3_13896_545_CCC_Ep_1",4,0.0723482613468835,4
"set1_3_13898_545_ADH_Ep","set1_3_13898_545_ADH_Ep",1,0.0837725533871301,4
"set1_3_13900_545_UDH_Ep_1","set1_3_13900_545_UDH_Ep_1",1,0.0641211016571431,4
"set1_3_13902_545_AM_Ep_1","set1_3_13902_545_AM_Ep_1",4,0.140538456484832,4
"set1_3_13904_545_IBC_Ep","set1_3_13904_545_IBC_Ep",4,0.139733081075911,4
"set1_3_13906_545_DCIS_Ep_1","set1_3_13906_545_DCIS_Ep_1",4,0.140048710049179,4
"set1_3_13908_545_CCC_Ep_2","set1_3_13908_545_CCC_Ep_2",1,0.0655179790962176,4
"set1_3_13910_545_AM_Ep_2","set1_3_13910_545_AM_Ep_2",4,0.177909559396597,4
"set1_3_13912_545_UDH_Ep_2","set1_3_13912_545_UDH_Ep_2",1,0.0613985030547385,4
"set1_3_13914_545_NL_Ep","set1_3_13914_545_NL_Ep",1,0.0703390319780528,4
"set1_3_13916_545_DCIS_Ep_2","set1_3_13916_545_DCIS_Ep_2",4,0.149880727250223,4
"set1_3_13918_545_LVI_Ep","set1_3_13918_545_LVI_Ep",4,0.138465768409884,4
"set1_3_13920_544_MC_Ep","set1_3_13920_544_MC_Ep",3,0.0525980504908866,4
"set1_3_13922_544_NL_Ep","set1_3_13922_544_NL_Ep",3,0.0502635175325821,4
"set1_3_13924_544_DCIS_Ep_1","set1_3_13924_544_DCIS_Ep_1",4,0.0906993068821246,4
"set1_3_13926_544_DCIS_Ep_2","set1_3_13926_544_DCIS_Ep_2",4,0.0988003572948984,4
"set1_3_13928_544_IBC_Ep","set1_3_13928_544_IBC_Ep",4,0.0846800850391608,4
"set1_3_13930_544_DCIS_Ep_3","set1_3_13930_544_DCIS_Ep_3",4,0.0979355621747587,4
"set1_3_13932_543_CCH_Ep_1","set1_3_13932_543_CCH_Ep_1",1,0.0697945853654714,4
"set1_3_13934_543_CCH_Ep_2","set1_3_13934_543_CCH_Ep_2",1,0.0786987130823525,4
"set1_3_13936_568_AM_Ep","set1_3_13936_568_AM_Ep",4,0.153876477506557,4
"set1_3_13938_568_NL_Ep","set1_3_13938_568_NL_Ep",3,0.0663580408722519,4
"set1_3_13940_568_IBC_Ep","set1_3_13940_568_IBC_Ep",2,0.111657031378636,4
"set1_3_13942_568_DCIS_Ep","set1_3_13942_568_DCIS_Ep",2,0.0982183824014156,4
"set1_3_13944_569_CCC_Ep","set1_3_13944_569_CCC_Ep",1,0.0674294016106704,4
"set1_3_13946_570_CCC_Ep_1","set1_3_13946_570_CCC_Ep_1",1,0.0904177954284825,4
"set1_3_13948_570_IBC_Ep","set1_3_13948_570_IBC_Ep",1,0.0700052417972989,4
"set1_3_13950_570_DCIS_Ep","set1_3_13950_570_DCIS_Ep",1,0.080911076220301,4
"set1_3_13952_570_ADH_Ep_1","set1_3_13952_570_ADH_Ep_1",1,0.0824867697096536,4
"set1_3_13954_570_NL_Ep","set1_3_13954_570_NL_Ep",3,0.0926616863008232,4
"set1_3_13956_570_CCC_Ep_2","set1_3_13956_570_CCC_Ep_2",1,0.0780655184667762,4
"set1_3_13958_570_CCH_Ep","set1_3_13958_570_CCH_Ep",1,0.0741053477769481,4
"set1_3_13960_570_ADH_Ep_2","set1_3_13960_570_ADH_Ep_2",1,0.0769753755155437,4
"set1_3_13962_569_IBC_Ep","set1_3_13962_569_IBC_Ep",2,0.107003211004663,4
"set1_3_13966_567_ADH_Ep","set1_3_13966_567_ADH_Ep",1,0.0556133931008428,4
"set1_3_13968_567_DCIS_Ep","set1_3_13968_567_DCIS_Ep",2,0.0845909639946555,4
"set1_3_13970_567_IBC_Ep","set1_3_13970_567_IBC_Ep",2,0.115381726246869,4
"set1_3_13972_567_NL_Ep","set1_3_13972_567_NL_Ep",3,0.0790268191703404,4
"set1_3_13974_569_NL_Ep","set1_3_13974_569_NL_Ep",1,0.0616999409816206,4
"set1_3_13976_565_EN_Ep","set1_3_13976_565_EN_Ep",1,0.0795467871371011,4
"set1_3_13978_565_DCIS_Ep","set1_3_13978_565_DCIS_Ep",2,0.0751309872810769,4
"set1_3_13980_565_NL_Ep","set1_3_13980_565_NL_Ep",3,0.0737097044517523,4
"set1_3_13982_561_DCIS_Ep","set1_3_13982_561_DCIS_Ep",2,0.0892679336755381,4
"set1_3_13984_561_IBC_Ep","set1_3_13984_561_IBC_Ep",2,0.103667659936737,4
"set1_3_13986_561_NL_Ep","set1_3_13986_561_NL_Ep",1,0.0731513836450591,4
"set1_3_13987_562_DCIS_Ep_1","set1_3_13987_562_DCIS_Ep_1",2,0.0888265959436736,4
"set1_3_13989_562_NL_Ep_1","set1_3_13989_562_NL_Ep_1",3,0.0730376161358723,4
"set1_3_13991_562_DCIS_Ep_2","set1_3_13991_562_DCIS_Ep_2",2,0.120433031296142,4
"set1_3_13993_562_NL_Ep_2","set1_3_13993_562_NL_Ep_2",3,0.0588807453261829,4
"set1_3_13995_563_NL_Ep","set1_3_13995_563_NL_Ep",3,0.0660680523836744,4
"set1_3_13999_563_EN_Ep","set1_3_13999_563_EN_Ep",1,0.0618002022988182,4
"set1_3_14001_553_DCIS_Ep","set1_3_14001_553_DCIS_Ep",2,0.0889963776914451,4
"set1_3_14003_553_IBC_Ep","set1_3_14003_553_IBC_Ep",2,0.0755304654342454,4
"set1_3_14005_553_NL_Ep_1","set1_3_14005_553_NL_Ep_1",1,0.0577811032295776,4
"set1_3_14007_553_EN_Ep","set1_3_14007_553_EN_Ep",1,0.0605703051018809,4
"set1_3_14009_553_AM_Ep","set1_3_14009_553_AM_Ep",1,0.0558750413072246,4
"set1_3_14011_553_NL_Ep_2","set1_3_14011_553_NL_Ep_2",3,0.03498633197546,4
"set1_3_14012_560_CCC_Ep","set1_3_14012_560_CCC_Ep",1,0.08741654310509,4
"set1_3_14014_560_AM_Ep","set1_3_14014_560_AM_Ep",4,0.160505054485923,4
"set1_3_14016_560_NL_Ep_1","set1_3_14016_560_NL_Ep_1",1,0.0797484902508962,4
"set1_3_14018_560_NL_Ep_2","set1_3_14018_560_NL_Ep_2",1,0.0709647989888107,4
"set1_3_14020_560_IBC_Ep_1","set1_3_14020_560_IBC_Ep_1",2,0.102788213062538,4
"set1_3_14022_560_SA_Ep","set1_3_14022_560_SA_Ep",1,0.0538192084347485,4
"set1_3_14024_560_NL_Ep","set1_3_14024_560_NL_Ep",3,0.0634211315298638,4
"set1_3_14025_560_IBC_Ep_2","set1_3_14025_560_IBC_Ep_2",2,0.102789582400534,4
"set1_3_14027_572_IP_Ep","set1_3_14027_572_IP_Ep",1,0.073557687833485,4
"set1_3_14028_572_UDH_Ep","set1_3_14028_572_UDH_Ep",4,0.0787054677817092,4
"set1_3_14034_572_IBC_Ep","set1_3_14034_572_IBC_Ep",2,0.0997060736914438,4
"set1_3_14036_571_NL_Ep","set1_3_14036_571_NL_Ep",3,0.0591078819361251,4
"set1_3_14038_571_EN_Ep","set1_3_14038_571_EN_Ep",3,0.0882662974291736,4
"set1_3_14040_571_DCISw_Ep","set1_3_14040_571_DCISw_Ep",2,0.11443653255652,4
"set1_3_14042_571_DCIS_Ep","set1_3_14042_571_DCIS_Ep",2,0.101982974675472,4
"set1_3_14044_571_IBC_Ep_1","set1_3_14044_571_IBC_Ep_1",2,0.114781985263772,4
"set1_3_14046_571_IBC_Ep_2","set1_3_14046_571_IBC_Ep_2",2,0.109103248687444,4
"set1_3_14048_566_IBC_Ep","set1_3_14048_566_IBC_Ep",2,0.102824499191062,4
"set1_3_14050_566_DCIS_Ep","set1_3_14050_566_DCIS_Ep",2,0.0842062388825429,4
"set1_3_14052_566_UDH_Ep","set1_3_14052_566_UDH_Ep",1,0.0644828422797196,4
"set1_3_14054_566_CCC_Ep_1","set1_3_14054_566_CCC_Ep_1",1,0.0726907969735321,4
"set1_3_14056_566_CCC_Ep_2","set1_3_14056_566_CCC_Ep_2",1,0.0687480872116407,4
"set1_3_14058_566_AM_Ep","set1_3_14058_566_AM_Ep",4,0.143953606266544,4
"set1_3_14060_566_NL_Ep","set1_3_14060_566_NL_Ep",1,0.0569682336834603,4
"set1_3_14062_564_DCIS_Ep","set1_3_14062_564_DCIS_Ep",2,0.0792876812636123,4
"set1_3_14064_564_HP_Ep","set1_3_14064_564_HP_Ep",3,0.0642796355451186,4
"set1_3_14066_564_NL_Ep","set1_3_14066_564_NL_Ep",3,0.0741401244905354,4
"set1_3_14068_564_IBC_Ep","set1_3_14068_564_IBC_Ep",2,0.0716905388413044,4
"set1_3_14070_559_DCIS_Ep","set1_3_14070_559_DCIS_Ep",2,0.10090783652626,4
"set1_3_14072_559_IBC_Ep","set1_3_14072_559_IBC_Ep",2,0.125563685842641,4
"set1_3_14074_559_CCH_Ep","set1_3_14074_559_CCH_Ep",1,0.0796751888521979,4
"set1_3_14076_559_AM_Ep","set1_3_14076_559_AM_Ep",4,0.147196747772229,4
"set1_3_14080_558_IBC_Ep","set1_3_14080_558_IBC_Ep",2,0.0825439245866619,4
"set1_3_14082_558_NL_Ep_1","set1_3_14082_558_NL_Ep_1",3,0.0442428244015629,4
"set1_3_14084_558_DCIS_Ep_1","set1_3_14084_558_DCIS_Ep_1",2,0.0905828432736021,4
