"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_13832_550_IBC_Ep_1","set1_3_13832_550_IBC_Ep_1",2,0.149605380109151,4
"set1_3_13834_550_AM_Ep_2","set1_3_13834_550_AM_Ep_2",2,0.175625398694066,4
"set1_3_13836_550_DCIS_Ep_1","set1_3_13836_550_DCIS_Ep_1",2,0.125166691880601,4
"set1_3_13838_550_CCC_Ep","set1_3_13838_550_CCC_Ep",3,0.0948976766854451,4
"set1_3_13840_549_DCIS_Ep","set1_3_13840_549_DCIS_Ep",4,0.125870089059786,4
"set1_3_13842_549_IBC_Ep","set1_3_13842_549_IBC_Ep",4,0.140035899010049,4
"set1_3_13844_549_IN_Ep","set1_3_13844_549_IN_Ep",3,0.0685517652419992,4
"set1_3_13846_550_IBC_Ep_2","set1_3_13846_550_IBC_Ep_2",2,0.115316286424225,4
"set1_3_13848_550_DCIS_Ep_2","set1_3_13848_550_DCIS_Ep_2",2,0.128979066529828,4
"set1_3_13850_549_IP_Ep","set1_3_13850_549_IP_Ep",1,0.079456409415638,4
"set1_3_13852_549_MC_Ep","set1_3_13852_549_MC_Ep",1,0.0766304145198804,4
"set1_3_13854_549_NL_Ep","set1_3_13854_549_NL_Ep",1,0.0935798987964397,4
"set1_3_13856_549_AM_Ep","set1_3_13856_549_AM_Ep",2,0.190520898306393,4
"set1_3_13858_548_DCIS_Ep","set1_3_13858_548_DCIS_Ep",4,0.103705933924667,4
"set1_3_13860_548_IBC_Ep","set1_3_13860_548_IBC_Ep",4,0.102513706543681,4
"set1_3_13862_547_NL_Ep","set1_3_13862_547_NL_Ep",1,0.108120347334466,4
"set1_3_13864_547_CCC_Ep_1","set1_3_13864_547_CCC_Ep_1",3,0.103385120276559,4
"set1_3_13866_547_CCH_Ep_1","set1_3_13866_547_CCH_Ep_1",3,0.11540015658088,4
"set1_3_13868_547_IBC_Ep_1","set1_3_13868_547_IBC_Ep_1",4,0.113083898405176,4
"set1_3_13870_547_DCIS_Ep","set1_3_13870_547_DCIS_Ep",4,0.125558860697498,4
"set1_3_13872_547_CCC_Ep_2","set1_3_13872_547_CCC_Ep_2",3,0.0971507072586271,4
"set1_3_13876_547_CCC_Ep_3","set1_3_13876_547_CCC_Ep_3",3,0.0914330747552025,4
"set1_3_13878_547_IBC_Ep_2","set1_3_13878_547_IBC_Ep_2",4,0.119605395510062,4
"set1_3_13880_547_NL_Ep","set1_3_13880_547_NL_Ep",1,0.0967621241014109,4
"set1_3_13882_546_NL_Ep","set1_3_13882_546_NL_Ep",3,0.0951500942152248,4
"set1_3_13884_546_ALH_Ep","set1_3_13884_546_ALH_Ep",3,0.135875701385207,4
"set1_3_13886_546_IBC_Ep","set1_3_13886_546_IBC_Ep",4,0.125559970896786,4
"set1_3_13888_546_LIN_Ep","set1_3_13888_546_LIN_Ep",1,0.0918903287398304,4
"set1_3_13890_546_CCH_Ep","set1_3_13890_546_CCH_Ep",3,0.136353677505564,4
"set1_3_13892_546_HIN_Ep","set1_3_13892_546_HIN_Ep",1,0.0892420443723584,4
"set1_3_13894_546_MIN_Ep","set1_3_13894_546_MIN_Ep",1,0.104031564606693,4
"set1_3_13896_545_CCC_Ep_1","set1_3_13896_545_CCC_Ep_1",2,0.102188372363043,4
"set1_3_13898_545_ADH_Ep","set1_3_13898_545_ADH_Ep",3,0.128591516113749,4
"set1_3_13900_545_UDH_Ep_1","set1_3_13900_545_UDH_Ep_1",3,0.0935072520934613,4
"set1_3_13902_545_AM_Ep_1","set1_3_13902_545_AM_Ep_1",2,0.186216382700685,4
"set1_3_13904_545_IBC_Ep","set1_3_13904_545_IBC_Ep",2,0.181453669377464,4
"set1_3_13906_545_DCIS_Ep_1","set1_3_13906_545_DCIS_Ep_1",2,0.175523939727044,4
"set1_3_13908_545_CCC_Ep_2","set1_3_13908_545_CCC_Ep_2",3,0.107376419426508,4
"set1_3_13910_545_AM_Ep_2","set1_3_13910_545_AM_Ep_2",2,0.219404905630829,4
"set1_3_13912_545_UDH_Ep_2","set1_3_13912_545_UDH_Ep_2",3,0.10172832488863,4
"set1_3_13914_545_NL_Ep","set1_3_13914_545_NL_Ep",3,0.116128508549781,4
"set1_3_13916_545_DCIS_Ep_2","set1_3_13916_545_DCIS_Ep_2",2,0.20449547023828,4
"set1_3_13918_545_LVI_Ep","set1_3_13918_545_LVI_Ep",2,0.188567852924393,4
"set1_3_13920_544_MC_Ep","set1_3_13920_544_MC_Ep",1,0.0816412101809705,4
"set1_3_13922_544_NL_Ep","set1_3_13922_544_NL_Ep",3,0.0778000246879385,4
"set1_3_13924_544_DCIS_Ep_1","set1_3_13924_544_DCIS_Ep_1",2,0.122716987760066,4
"set1_3_13926_544_DCIS_Ep_2","set1_3_13926_544_DCIS_Ep_2",2,0.137049622164231,4
