Mixture	luminal epithelial cell of mammary gland	mammary gland epithelial cell	basal cell	naive B cell	IgG plasma cell	class switched memory B cell	unswitched memory B cell	IgA plasma cell	effector memory CD8-positive, alpha-beta T cell	gamma-delta T cell	natural killer cell	lymphocyte	mature NK T cell	activated CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	regulatory T cell	T cell	CD4-positive helper T cell	effector memory CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	activated CD8-positive, alpha-beta T cell	myeloid dendritic cell	non-classical monocyte	macrophage	classical monocyte	conventional dendritic cell	M1 macrophage	myeloid cell	M2 macrophage	plasmacytoid dendritic cell	neutrophil	fibroblast	endothelial cell of lymphatic vessel	vein endothelial cell	endothelial cell of artery	capillary endothelial cell	pericyte	vascular associated smooth muscle cell	mast cell	P-value	Correlation	RMSE
BCRF4_10_14807_665_inf_NL_Ep	0.0606369140282053	0.235488033627998	0.0422857537610282	0	0.0129306413909114	0.10427748190868	0.0106105451573515	0.00472480049767212	0	0	0	0.0346903047327774	0.0462615878739558	0	0.107192954466652	0.00955735029671798	0.00645350363898369	0	0	0	0.0153136163791391	3.68299451195722e-05	0	0.00648726570931531	0	0	0	0.167857871027041	0	0.0152952983726465	0.00339195993802217	0.0359561134045163	0.00375123944972965	0	0	0.0410110474866793	0.0234666498080052	0.0123222370988528	0	0	0.798077437182063	0.84387072596259
BCRF4_10_14809_665_DCIS_Ep	0.122572438050781	0.143711083190082	0.0867639225735549	0.00122102462171484	0.001773262080339	0.0880408377608077	0.0270755553068742	0.00327743848262161	0.010256320632644	0	0	0.0293480752688881	0.0220426280564557	0	0.121035832724373	0.022279888904038	0.00443751584430167	0	0	0	0.0251680233359294	0.0135748386156515	0	0	0	0	0.00759899380252506	0.197751696476956	0	0.0140461888542012	0	0.0183260515658389	0.000350122024000737	0.000515110206959601	0.00328992654645135	0.0212761598782951	0.0142670651957155	0	0	0	0.780942633871988	0.863925365635093
BCRF4_10_14810_665_NL_Ep	0.176690962848838	0.0923091393713025	0.0993435823508663	0.00543270492991264	0.00705133209112464	0.0865375376891829	0.00287920243369889	0.00721240582809379	0.036311418476548	0	0	0.0499468233714914	0.016089734389926	0.0651174216492766	0.0791886313995927	0.00222089763770915	0	0	0.005676139417233	0	0	0	0	0	0	0	0	0.155948335428011	0	0.0170192000094587	0.00190374892209197	0.0507108852654303	0.00084206305573575	0	0	0.0276980777595069	0	0.0138697556749692	0	0	0.783963351471925	0.865565856558222
BCRF4_10_14812_666_IBC_Ep	0.0884820946165012	0.230090679175126	0.0396760329598806	0	0.0050566680142898	0.121835183536395	0.0178580959657701	0	0.0089711169587979	0	0	0.0382884006805938	0.0226098808478491	0.00186308073219237	0.0241226722388184	0.00747767736145806	0	0	0.0378523671883349	0	0	0	0	0.00712495036919952	0	0	0	0.232472543521627	0	0	0.00531350878993538	0.0294820539301017	0.00112279736170702	0	0	0.0509396314877379	0.0293605642636853	0	0	0	0.762094052976874	0.85369250348069
BCRF4_10_14813_666_DCIS_Ep	0.237319616126893	0.123676240419313	0.0597885209311579	0	0	0.111664061927184	0.00668340848691904	0.00972441258168459	0.0111694972856369	0	0	0.0292906701792464	0.0036068664334271	0.0356608916031894	0.0577808628196436	0	0.0355041756418246	0	0.0346616741454326	0	0	0	0	0.0120906566987326	0	0	0	0.188264863222489	0	0.00086511729102386	0	0.00869861998396583	0	0	0	0.0287132592967801	0.00483658492545676	0	0	0	0.757789322213292	0.866671038397244
BCRF4_10_14816_666_NL_Ep	0.194852639892638	0.0838630320143175	0.162527277592214	0	0.00504294157301583	0.112214070163889	0	0.0123112083677254	0.013110480197032	0	0	0.0376914655502567	0.0168853170548759	0	0.0971307765121718	0	0	0	0	0	0.000933258040863135	0	0	0	0	0	0	0.142947949261581	0.000956028686996315	0.00278971059569158	0	0.0554472873315119	0.0117456350414031	0	0	0.0362051077162361	2.00161990375455e-05	0.0133257982085434	0	0	0.725281158312746	0.87668471720103
BCRF4_10_14818_666_BBD_Ep	0.360332385287188	0.0191379346632497	0.1049484567557	0	0	0.119837744742567	0	0	0.00881808616794383	0	0	0.0473065737201117	0.00360291660661563	0	0.0939800664886013	2.00131658005686e-05	0	0	0	0	0.00515023692003732	0	0	0	0	0	0	0.135204849002141	0.00415857221114395	0.00485867752966018	0	0.0412256718340038	0.00502067412400647	0	0	0.024309909840266	0	0.0220872309409632	0	0	0.582441860281993	0.912141086145011
BCRF4_10_14853_671_UDH_Ep	0.314443737525007	0.134092022360239	0.100440273162822	0	3.06675687641073e-05	0.103448814952529	0	0.000179648257613024	0.00830459987640979	0	0	0.0454775488910618	0.0192304021560328	0	0.0686282525935124	0.00903803644150693	0	0	0.0104378754876098	0	0.00198691918910031	0	0	0	0	0	0	0.126038358722953	0	0	0	0.0260807181395353	0.00173637412715765	0	0	0.0235354293837786	0	0.00687032116436734	0	0	0.626911880830208	0.896022521504769
BCRF4_10_14855_671_AM_Ep	0.508527756931751	0	0.0412046795517483	0	8.87330627890951e-05	0.0672077405366397	0.00551240225452981	7.02945480026301e-05	0	0	0	0.00634911671072985	0.00433422519005011	0.0213325493480423	0.0864429673864228	0.00531746175292078	0.016686248342598	0	0.0118382479374817	0.0200876032315215	0	0	0	0.000327580021007504	0	0	0	0.106480199673351	0.00691849928476709	0	0.00355110171045897	0.00809964242095813	0.00969008957630187	0	0	0.0649283535187581	0.00500450700916926	0	0	0	0.334910930342546	0.955200142658274
BCRF4_10_14856_671_DCIS_Ep	0.0711133616469602	0.292184250229563	0.0232651133203451	0	0.00391115579052041	0.0975803390383268	0.0187398355477938	0.00418788231559763	0.00318212242806803	0	0	0.0230563208585992	0	0.0278926944519816	0.0516531044955901	0	0.115867346264732	0	0	0.013482436275798	0	0	0	0	0	0	0	0.169888783767767	0	0.00655622608773453	0.00633577057126418	0.01005684530533	0.00285301465965959	0	0	0.0431835791732397	0.0150098177711285	0	0	0	0.80290820738594	0.843997405184272
