Mixture	luminal epithelial cell of mammary gland	mammary gland epithelial cell	basal cell	naive B cell	IgG plasma cell	class switched memory B cell	unswitched memory B cell	IgA plasma cell	effector memory CD8-positive, alpha-beta T cell	gamma-delta T cell	natural killer cell	lymphocyte	mature NK T cell	activated CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	regulatory T cell	T cell	CD4-positive helper T cell	effector memory CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	activated CD8-positive, alpha-beta T cell	myeloid dendritic cell	non-classical monocyte	macrophage	classical monocyte	conventional dendritic cell	M1 macrophage	myeloid cell	M2 macrophage	plasmacytoid dendritic cell	neutrophil	fibroblast	endothelial cell of lymphatic vessel	vein endothelial cell	endothelial cell of artery	capillary endothelial cell	pericyte	vascular associated smooth muscle cell	mast cell	P-value	Correlation	RMSE
BCRF4_10_14955_680_DCIS_2_Str	0	0.000638568592198734	0.00582587176615482	0.0291435514696265	0.123915696047356	0.0336238087969258	0.011219089126045	0.00235871512424436	0.0411946356579551	0	0.00593051660752252	0.0210247011849483	0.0188467971446762	0	0.0945132152867214	0.0262558551049275	0	0.00463992577711539	0	0	0.0388824078220266	0	0	0.0228311242074215	0	0	0.00366021002046595	0.146360827719727	0.0122737391896009	0.0198984376656201	0.00858900166696075	0.194590735012734	0.00442402253248677	0.00462963812637012	0	0.0709874863559522	0.0491152120782075	0.00462620991600798	0	0	0.964860087975077	0.431984833160201
BCRF4_10_14957_680_ADH_2_Str	0.0070556335224435	0.00992407638572208	0.00920447069438907	0.031176680770693	0.0504448592393362	0.0363316235639359	0.00707217616119549	0.00191105591563282	0.0327028325905149	0	0	0.0344035096785248	0.049237742323545	0	0.116103074675515	0.00510183648336501	0	0	0.00229179174128747	0	0.0250938831699372	0	0	0.100370624886086	0	0	0	0.147149966484802	0	0.0129456203137387	0	0.225775090114907	0.00397073330247458	0.0022482944752156	0.00941194542035884	0.043516106941	0.0214893273086374	0.0150670438367417	0	0	0.888919950970329	0.732690052714296
BCRF4_10_14945_680_ADH_1_Str	0.0304646139615898	0.000203894909272575	0.0205183541084356	0	0.00631806402051797	0.0429733209324978	0.0072514519082508	0.00544063260508976	0.033054082034137	0	0	0.0295527639552993	0.0380245457941643	0	0.108478331708254	0.00956065965928281	0	0	0	0	0.0141101285285161	0	0	0	0	0	0	0.190883899024248	0.0188268393072484	0.00809688825105267	0.00353307232696718	0.326885282093519	0.015825260766056	0	0.0200593161928315	0.037908744171438	0.00508789187643407	0.0269419618648978	0	0	0.642810673683596	0.884853814434572
BCRF4_10_14947_680_UDH_Str	0	0.00201723617363868	0.00965697520420175	0.0349225607411799	0.0689409006114154	0.0219121026496379	0	0.0442001060134637	0.0266218073106241	0	0	0.0450464427857219	0.0371888646369946	0	0.104926312966995	0.0130307132802534	0	0	0	0	0.0118341079408187	0	0.000749842111508159	0	0	0.00915727492064747	0	0.135560322788775	0.0104267983664466	0.0104775077016827	0.00253868219068054	0.288396569897698	0.01575046849596	0	0	0.0862428421723637	0	0.0204015610392922	0	0	0.931807121688647	0.563745797854044
BCRF4_10_14949_680_NL_Str	0.00275135391848659	0.00816708474188191	0.00885819390230571	0.0263802778222832	0.0543900376478966	0.0359280773619518	0	0.0140547539238072	0	0	0	0.0573982737448203	0.051270231490319	0	0.163660413507377	0.00209622322068773	0	0.00272084343986957	0.0115561110149893	0	0.03041815347145	0	0	0	0	0	0	0.165883574749402	0.0104023094900941	0.0131659062925324	0.00176285382698819	0.231541376347254	0.0179889988495509	0	0	0.0632931460359573	0.00736196618594586	0.0189498390141505	0	0	0.906654455102712	0.699942810424304
BCRF4_10_14951_680_DCIS_1_Str	0.00653444863513631	0	0.0107298940356353	0.0287736542780939	0.112229762531659	0.0341689136454995	0.0142541498791493	0	0.0438662770705191	0	0	0.0357076246836904	0.0448411686246879	0	0.0914774628505839	0.028604996584739	0	0	0	0	0.0223307626721944	0	0	0.04722334921326	0	0	0.0111990932118473	0.156351370699828	0.00792904227821837	0.00657803938304756	0.00522625907968767	0.179435821460225	0.00205444215475829	0.00463802845544698	0	0.0654468356466464	0.0403986029254456	0	0	0	0.959305246970351	0.486250554834793
BCRF4_10_14953_680_IBC_Str	0.0139826797514542	0	0.00962659437679745	0.0202973014304421	0.320662990482117	0.0388192441951089	0.0092013387922666	0	0.0172151892251833	0	0.000521714266238176	0.0201620177959135	0.0215355948259679	0	0.0866531319848813	0.0288515048455959	0	0	0	0.0103069275882363	0.0230310923622991	0	0	0.034164984630847	0	0	0	0.130505713872383	0.00239109054866618	0.0023809399682992	0	0.140520864261519	0	0	0	0.0537671206332598	0.0154019641625247	0	0	0	0.976372432396609	0.5859451022478
BCRF4_10_14959_680_LG_DCIS_Str	0	0.00476644867133434	0.0035978710771549	0.0881674542609004	0.0493882017074656	0.10048085331997	0.0147123877845652	0.00630715659776738	0.0349430510185713	0	0	0.0344921197414969	0.0252423853986492	0	0.172773762379239	0.0128566815211845	0	0	0.00484580053421432	0.00554504702666643	0.0448899425239741	0	0	0.0660038435896399	0	0	0	0.111596897260512	0	0.019455417245006	0	0.121730331209272	0.000731978607453961	0	0	0.0569292677086845	0.0130537468327821	0.00748935398349669	0	0	0.921488935528166	0.724008027234987
BCRF4_10_14961_680_AM_Str	0.19997303913147	0.0111906999915264	0.149118592727478	0	0	0.0959064875560125	0	0.000722055976907862	0.0175875542857446	0	0	0.0358521794192248	0.00549042118666352	0.00253300709466442	0.0677903040288658	0.0176837253924118	0	0	0.0124040457558383	0	0	0	0	0.0183143525051431	0	0	0	0.18378294140353	0.00339361923579883	0.00722476967424021	0.00267957790822019	0.068581974491298	0.00812393153981571	0	0	0.0733697584772528	0.00489418405277331	0.0133827781651198	0	0	0.4585737319112	0.933119921350035
BCRF4_10_14967_681_DCIS_Str	0	0.0309178411103095	0.0132291622607741	0.0158695317489852	0.0447445726395608	0.0535450114007974	0.0151374027475226	0.0517734724192902	0.00948381158722432	0	0.00947403622072997	0.0137419007613882	0.0252681047645493	0	0.114572744139157	0.0248804853058745	0	0	0	0	0.0309775853252009	0.00153811957075679	0.000390741405967695	0	0	0	0.0143361290945267	0.164030070667539	0	0.00260162300102465	0.00154285690123719	0.201664229999246	0.00461764202971275	0.0136818932186826	0	0.0859265060400721	0.0487825693806526	0.00727195625921777	0	0	0.949154326120213	0.616140198256916
