Mixture	Myeloid_cell	T_cell	pDC	Fibroblast	Endothelial_cell	B_cell	Cancer_cell	Mast_cell	P-value	Correlation	RMSE
BCRF1_3&EN_11841_360_RS1_S_peripheral_S36_R1_001	0.0683677493447488	0.0010833986520684	0.0111643284463055	0.422649303163155	0.423803239169251	0.00812532942196603	0.0593953743365529	0.00541127746595176	0	0.544320271400126	0.869210567868177
BCRF1_3&EN_11843_360_NL_S_S53_R1_001	0.0902700154212563	0	8.52313737427484e-05	0.552814082159744	0.327927376852603	0.00493657253607215	0.0217434302802875	0.00222329137629444	0	0.609074145953882	0.86012404568391
BCRF1_3&EN_11845_361_RS1_S_center_S31_R1_001	0.103655964252186	0.0179234630457128	0.0114221063370734	0.698184630096711	0.111704321051147	0.00861024961994997	0.0484992655972201	0	0	0.784038551851728	0.712110079640561
BCRF1_3&EN_11847_361_RS1_S_peripheral_S35_R1_001	0.0717721247814586	0.0057872400612896	0.00623402297846771	0.564878179452206	0.27587110827731	0.00821389781784962	0.065131210299659	0.00211221633176042	0	0.749811585078152	0.692246824762345
BCRF1_3&EN_11849_361_RS2_S_center_S20_R1_001	0.0738032393157977	0.0252844609260942	0.0148586288638738	0.795322956953304	0.0669822139499167	0.00917356262979613	0.0100620530798408	0.00451288428137633	0	0.804810318155061	0.757194400391078
BCRF1_3&EN_11851_361_RS2_S_peripheral_S45_R1_001	0.0781433215512086	0.00819684130831489	0.0284593455163542	0.632108316156663	0.245616561293744	0.0074756141737152	0	0	0	0.7798551541049	0.680360225765013
BCRF1_3&EN_11853_361_RS4_S_center_S29_R1_001	0.13142351119325	0	0.0148914599914289	0.676669246852677	0.0475706155290823	0.00778328843975145	0.117312805391752	0.0043490726020586	0	0.821755792396102	0.634296522955734
BCRF1_3&EN_11855_361_RS4_S_peripheral_S25_R1_001	0.11668388873988	0.0283002363930063	0	0.601601341310246	0.211851657494034	0.00878224006441942	0.0292339827262492	0.00354665327216419	0	0.644623778304876	0.841448254434099
BCRF1_3&EN_11857_361_RS3_S_center_S26_R1_001	0.109205837801474	0.0329818762737639	0.0127835821794607	0.768200269696159	0.0242354248048525	0.00629987750258171	0.0462931317417082	0	0	0.936611872476393	0.459248051467725
BCRF1_3&EN_11859_361_RS3_S_peripheral_S54_R1_001	0.0994436108379669	0.0300345576674809	0.00969606949044339	0.632066333322151	0.210714358369768	0.0061143570015357	0.00797461079341673	0.00395610251723749	0	0.914794092450611	0.424602057994452
BCRF1_3&EN_11863_362_RS1_S_center_S28_R1_001	0.0524060654832338	0.0395007325491883	0	0.836450904111888	0.0304418765253037	0.00659087106381621	0.0346095502665701	0	0	0.930700150461716	0.547160265270479
BCRF1_3&EN_11865_362_RS1_S_peripheral_S40_R1_001	0.0898735846369313	0	0.0149471968388755	0.710401960934625	0.161308411436032	0.00930192526819966	0.00951578957943455	0.00465113130590233	0	0.668065440400007	0.889139976304236
BCRF1_3&EN_11868_363_RS1_S_center_S27_R1_001	0.0404020894705782	0.0217094861253964	0.0148475550599236	0.900420255893918	0.00301660047807606	0.00578797441252219	0.00954571923082585	0.00427031932876007	0	0.948921738153061	0.578167441337446
BCRF1_3&EN_11870_363_RS1_S_peripheral_S46_R1_001	0.130821734029592	0.00455076850804073	0.00289674011107338	0.576287007977778	0.269866835053848	0.00722390693077025	0.00597510678060884	0.00237790060828966	0	0.593525681631196	0.887424588441688
BCRF1_3&EN_11872_363_NL_S_S57_R1_001	0.137539622532776	0	0.0694366800612411	0.363131891509169	0.39842200556725	0.0120348721717883	0.0125432779906313	0.00689165016714463	0	0.278461579124131	1.0415861196092
BCRF1_3&EN_11875_364_RS1_S_center_S52_R1_001	0.0874102999643105	0.0163828090143512	0.0210988487003213	0.848109680615444	0.0103437719502275	0.00657461932204108	0.0100799704333043	0	0	0.928412540180823	0.564531128810396
BCRF1_3&EN_11877_364_RS1_S_peripheral_S56_R1_001	0.0519625338696341	0	0.0418807860248052	0.42701010886434	0.404766619208912	0.0105046588937747	0.0592721469708603	0.00460314616767374	0	0.518520432680985	0.89174586129891
BCRF1_3&EN_11881_364_RS2_S_center_S37_R1_001	0.0508325542717176	0.0392321620023695	0.0404829474583678	0.820349377986324	0.032124227224201	0.00657889958949184	0	0.0103998314675286	0	0.931205165686678	0.525351611468761
BCRF1_3&EN_13814_552_IBC_Str_1	0.209932281962884	0.0437995304728425	0.0288320841860607	0.656920612263154	0.0550000126014139	0.00551547851364444	0	0	0	0.812495432908239	0.636208559946776
BCRF1_3&EN_13829_551_DCIS_Str	0.13896718786854	0.0419985368377951	0.0297499429296379	0.653722710340245	0.122446221821722	0.00751721216637391	0.00238016963035024	0.00321801840533591	0	0.924163075204121	0.408017270875213
BCRF1_3&EN_13831_550_ADH_Str_1	0.166728171162479	0.0597633496570305	0.0022623355328742	0.496040641225832	0.239530197718719	0.00434517694974316	0.0310444066696963	0.000285721083626135	0	0.40263416575143	1.01555310647932
BCRF1_3&EN_13837_550_DCIS_Str_1	0.110835904029701	0.0676116801338273	0.0330497980716949	0.653213228096172	0.117468913890065	0.00962496093940222	0.00819551483913814	0	0	0.358668292004262	1.16636489328202
BCRF1_3&EN_13841_549_DCIS_Str	0.267138977612521	0.0222919134475415	0.00685792400964409	0.661641081002725	0.0369494237087106	0.00512068021885765	0	0	0	0.868032227786041	0.54024803176372
BCRF1_3&EN_13843_549_IBC_Str	0.14919437063364	0.0512775205972268	0.00386436687980756	0.606458020304872	0.175457074584227	0.00839722146749246	0.00535142553273297	0	0	0.484551605263875	1.01393269828855
BCRF1_3&EN_13845_549_IN_Str	0.135743775407324	0.196590989609247	0.0730615684673474	0.257343063410942	0.174683591906425	0.00745164555526381	0.155074821339727	5.05443037239932e-05	0	0.280869654822754	0.981437478301143
BCRF1_3&EN_13849_550_DCIS_Str_2	0.164237825755527	0.0595092319562348	0.0163400668025667	0.636245881116387	0.0923936448692525	0.00897321624458066	0.019777903765354	0.00252222949009702	0	0.257194658582311	1.2394504136002
BCRF1_3&EN_13855_549_NL_Str	0.0771235671970256	0.0196736807641032	0.0475327264212954	0.574730699508892	0.242743287435991	0.0104634368686352	0.0277326018040575	0	0	0.425374761215295	1.04937791023817
BCRF1_3&EN_13859_548_DCIS_Str	0.192797055920714	0.0633149507139225	0.0376660232976734	0.616339558279932	0.083359349362334	0.00417246138989836	0	0.00235060103552483	0	0.941437015769329	0.34502993556087
BCRF1_3&EN_13861_548_IBC_Str	0.213055386852044	0.104623794306599	0.0329065355842276	0.596196167009527	0.0493162683958601	0.00390184785174157	0	0	0	0.862195090294976	0.519002875744779
BCRF1_3&EN_13863_547_NL_Str	0.1126930673288	0.00773310050772615	0.0275312470960753	0.521768196843782	0.269537240607783	0.00853179239241226	0.0492442095941441	0.00296114562927738	0	0.31815424678233	1.10440793338145
