Mixture	Myeloid_cell	T_cell	pDC	Fibroblast	Endothelial_cell	B_cell	Cancer_cell	Mast_cell	P-value	Correlation	RMSE
BCRF4_10_14767_661_IBC_Ep	0.168409955689738	0	0	0.0232881127908049	0.0113514206775764	0.000412005966185683	0.796439709371278	9.87955044176557e-05	0	0.50497665482266	0.865020753684659
BCRF4_10_14769_661_AM_Ep	0.0283502383280872	0	0.000810737317056755	0	0.0214992975288471	0.000363020679936369	0.948976706146073	0	0	0.412977709695129	0.917053223129831
BCRF4_10_14771_661_ADH_Ep	0.0122564059875313	0	0.000222730975128514	0	0.0129721865301184	0.000304263458615609	0.974132947536822	0.000111465511783952	0	0.877092391100558	0.598864165688505
BCRF4_10_14773_661_DCIS_Ep	0.0187883932382301	0	0	0	0.0044772173393741	0.000154613983189817	0.976428931068514	0.000150844370692231	0	0.778203052047247	0.67927931985437
BCRF4_10_14775_661_ADH_Ep	0.00606305403898788	0	0	0	0.0141469026437559	0	0.979774091127468	1.59521897884574e-05	0	0.860681664613172	0.611513675078475
BCRF4_10_14777_661_NL_Ep	0.00688114991651651	0	0.00031889064803195	0.00611279005030198	0.005614171950101	0.000375927868038755	0.980605364845786	9.17047212240162e-05	0	0.763791022502098	0.68913115890079
BCRF4_10_14779_662_DCIS-1_Ep	0	0	0	0.00105085472493196	0.000679801652514542	0	0.998269343622554	0	0	0.680635699814368	0.748610142218928
BCRF4_10_14781_662_MIV-1_Ep	0.00583949732571268	0	0	0.0457594223312497	0.00815805362986508	0	0.940243026713173	0	0	0.680020765471986	0.751434780150594
BCRF4_10_14783_662_DCIS-2_Ep	0	0	0	0.0335659873430357	0.00536033338128518	0	0.961073679275679	0	0	0.647806802805655	0.772715118396962
BCRF4_10_14785_662_MIV-2_Ep	0.0430539460240506	0	0	0.0919596976879269	0.0133842354091431	0.000471336426510766	0.851130784452369	0	0	0.709664265256107	0.734564047111916
BCRF4_10_14787_662_DCIS-3_Ep	0	0	0	0.00136587066446529	0.00110687933689285	0	0.997527249998642	0	0	0.692878336733891	0.73987855321681
BCRF4_10_14789_662_IBC_Ep	3.86625576243757e-05	0	0	0.0468707426987491	0.000144439850534874	0	0.952946154893092	0	0	0.720432705835232	0.721178913179158
BCRF4_10_14909_676_DCIS-2_Ep	0	0	0	0	0.000823275872532515	0.000395062701433709	0.998781661426034	0	0	0.570270539709308	0.823626896233039
BCRF4_10_14797_664_AM_Ep	0	0	0.000117289543332162	0	0.037205627802655	0.000130507217101033	0.962546575436912	0	0	0.372655189138589	0.940281879316352
BCRF4_10_14798_664_BBD_Ep	0.00370024107408608	0	0.000180944846263791	0	0.0241084889744325	0	0.971987993616223	2.23314889945139e-05	0	0.772542911191181	0.684309907633001
BCRF4_10_14800_664_IBC_Ep	0.0886603261240637	0.009626069445585	0	0.0796639737479586	0.00485212242558991	0.000470073390026516	0.816408357539766	0.000319077327010205	0	0.728652941335091	0.72834373862511
